"method","rep","sd1","sd2","n1","delta","n2","p","width"
"Welch",15,1,2,2,0,18,0.28636326617306,6.19931985113899
"Student",16,1,2,2,0,18,0.640118606483577,6.44312641918281
"Welch",16,1,2,2,0,18,0.447889999973249,5.8300588220276
"Student",17,1,2,2,0,18,0.990495999679811,6.58471599763775
"Welch",17,1,2,2,0,18,0.975209437690807,2.65232232278556
"Student",18,1,2,2,0,18,0.187970068308534,3.51066649658688
"Welch",18,1,2,2,0,18,0.389276605830553,15.1280287579611
"Student",19,1,2,2,0,18,0.334836784185704,5.5060553123445
"Welch",19,1,2,2,0,18,0.166860181615464,4.74105559489706
"Student",20,1,2,2,0,18,0.842721325409314,6.10261045590278
"Welch",20,1,2,2,0,18,0.871557590140623,24.8677498953068
"Student",21,1,2,2,0,18,0.373607053994432,5.92053262686027
"Welch",21,1,2,2,0,18,0.0836720465234559,3.06211092650891
"Student",22,1,2,2,0,18,0.593207944237476,4.61629328664104
"Welch",22,1,2,2,0,18,0.674190395876013,18.6912415385881
"Student",23,1,2,2,0,18,0.665694463337003,6.46031086994201
"Welch",23,1,2,2,0,18,0.239399413802525,2.35583940327798
"Student",24,1,2,2,0,18,0.170689327555188,5.37552251246644
"Welch",24,1,2,2,0,18,0.243740941161545,11.9501294470422
"Student",25,1,2,2,0,18,0.858802576960588,6.68301733660472
"Welch",25,1,2,2,0,18,0.834412417654854,13.6771594201546
"Student",26,1,2,2,0,18,0.523941889229654,6.62060654412468
"Welch",26,1,2,2,0,18,0.0944903463588893,2.4514157612982
"Student",27,1,2,2,0,18,0.753933065321618,5.74371564938612
"Welch",27,1,2,2,0,18,0.481632045529435,2.89755852155131
"Student",28,1,2,2,0,18,0.855411094447464,6.85528292830163
"Welch",28,1,2,2,0,18,0.586287818555535,2.28684284951068
"Student",29,1,2,2,0,18,0.645452558875937,6.37989223953181
"Welch",29,1,2,2,0,18,0.652887210286038,17.4535363307572
"Student",30,1,2,2,0,18,0.768724922474816,6.32101531483099
"Welch",30,1,2,2,0,18,0.727716595851365,12.3499813950162
"Student",31,1,2,2,0,18,0.797510981823975,6.05156700539841
"Welch",31,1,2,2,0,18,0.660354685365887,5.36786727614089
"Student",32,1,2,2,0,18,0.414757651588947,4.81486260828265
"Welch",32,1,2,2,0,18,0.558740941998044,21.1637356303606
"Student",33,1,2,2,0,18,0.713015939283022,6.47146015418754
"Welch",33,1,2,2,0,18,0.614161873265821,8.94549036699896
"Student",34,1,2,2,0,18,0.617066751750335,6.84070527363946
"Welch",34,1,2,2,0,18,0.54639649606905,11.7473862288607
"Student",35,1,2,2,0,18,0.494561108823238,5.10596811897259
"Welch",35,1,2,2,0,18,0.336955775409885,5.55006361274059
"Student",36,1,2,2,0,18,0.416705753156972,5.69205646133299
"Welch",36,1,2,2,0,18,0.205285701530375,4.54535071190556
"Student",37,1,2,2,0,18,0.783837720115085,5.40990184703377
"Welch",37,1,2,2,0,18,0.431116248495745,1.87610314620073
"Student",38,1,2,2,0,18,0.804944728692184,4.62414614798106
"Welch",38,1,2,2,0,18,0.611106336617487,2.79987775331754
"Student",39,1,2,2,0,18,0.682927655507881,5.61048369584768
"Welch",39,1,2,2,0,18,0.362378517545265,2.78787793704342
"Student",40,1,2,2,0,18,0.790292899929649,6.94787713614283
"Welch",40,1,2,2,0,18,0.76417615073618,15.1415237946743
"Student",41,1,2,2,0,18,0.755137638114276,6.3644478408642
"Welch",41,1,2,2,0,18,0.831454371048701,34.224965024794
"Student",42,1,2,2,0,18,0.714021556864199,6.90404150257991
"Welch",42,1,2,2,0,18,0.283785137862022,2.32672806862901
"Student",43,1,2,2,0,18,0.197768399301957,5.64565791007086
"Welch",43,1,2,2,0,18,0.142198817531996,6.44790506896632
"Student",44,1,2,2,0,18,0.986176152192335,5.41357701914817
"Welch",44,1,2,2,0,18,0.95828435389432,1.79401344637776
"Student",45,1,2,2,0,18,0.990708614325649,7.04227873462316
"Welch",45,1,2,2,0,18,0.975544007621845,2.79560725023236
"Student",46,1,2,2,0,18,0.468543025626629,7.32069645379677
"Welch",46,1,2,2,0,18,0.0622425346183767,2.73299229212957
"Student",47,1,2,2,0,18,0.817370037697649,5.02959683945215
"Welch",47,1,2,2,0,18,0.816571566514014,13.9338183398319
"Student",48,1,2,2,0,18,0.247238429367601,6.2050063997386
"Welch",48,1,2,2,0,18,0.388861143192451,21.6978716310899
"Student",49,1,2,2,0,18,0.367361375539894,5.25988291384728
"Welch",49,1,2,2,0,18,0.0895553619882595,2.84323252896021
"Student",50,1,2,2,0,18,0.170084938770818,4.27584432066055
"Welch",50,1,2,2,0,18,0.0616587995985363,3.17257337078114
"Student",51,1,2,2,0,18,0.656730367256107,6.34978442769814
"Welch",51,1,2,2,0,18,0.703282904803437,22.542424630391
"Student",52,1,2,2,0,18,0.999408740281658,5.75748651901549
"Welch",52,1,2,2,0,18,0.998326961713905,2.05463330837655
"Student",53,1,2,2,0,18,0.695800495037697,4.74382004103905
"Welch",53,1,2,2,0,18,0.285796694925825,1.73307216599939
"Student",54,1,2,2,0,18,0.571407532726638,6.06141687748321
"Welch",54,1,2,2,0,18,0.381269711902558,5.75089023790727
"Student",55,1,2,2,0,18,0.692506468606018,5.97224864587597
"Welch",55,1,2,2,0,18,0.249892890391881,2.01907307771561
"Student",56,1,2,2,0,18,0.440974059723467,6.05554576387583
"Welch",56,1,2,2,0,18,0.0269399806589281,1.97902940965737
"Student",57,1,2,2,0,18,0.700914053405146,7.00335085822283
"Welch",57,1,2,2,0,18,0.2520555953758,2.31121617639621
"Student",58,1,2,2,0,18,0.613690389020494,7.06315462806238
"Welch",58,1,2,2,0,18,0.389005222056879,5.63206270358558
"Student",59,1,2,2,0,18,0.853267568593886,4.39008841827411
"Welch",59,1,2,2,0,18,0.802671246174963,6.67970976151156
"Student",60,1,2,2,0,18,0.141659871838051,6.34042812269592
"Welch",60,1,2,2,0,18,0.000199408847890622,2.08780718844197
"Student",61,1,2,2,0,18,0.412313694888239,5.86809617079422
"Welch",61,1,2,2,0,18,0.0211409394871978,1.94969302137731
"Student",62,1,2,2,0,18,0.875573578877735,6.13755498546183
"Welch",62,1,2,2,0,18,0.915842021872043,34.0486923535707
"Student",63,1,2,2,0,18,0.146839428320326,5.30100293968715
"Welch",63,1,2,2,0,18,0.00103110359548863,1.97072291381363
"Student",64,1,2,2,0,18,0.592580403219337,3.78117431614485
"Welch",64,1,2,2,0,18,0.734169919359579,22.0541041239396
"Student",65,1,2,2,0,18,0.565448795159983,4.30101522454113
"Welch",65,1,2,2,0,18,0.0989391220362191,1.44748210971863
"Student",66,1,2,2,0,18,0.867801489579201,4.37516715365149
"Welch",66,1,2,2,0,18,0.918462596602462,27.8693140688766
"Student",67,1,2,2,0,18,0.483125595266921,4.76268467566088
"Welch",67,1,2,2,0,18,0.393713005181569,7.11161874819434
"Student",68,1,2,2,0,18,0.576832453793725,6.9333953829911
"Welch",68,1,2,2,0,18,0.245326016957235,3.68006657277957
"Student",69,1,2,2,0,18,0.581120962128645,5.70662764700037
"Welch",69,1,2,2,0,18,0.262246981972703,3.16861480664753
"Student",70,1,2,2,0,18,0.773387046839316,4.7076902406409
"Welch",70,1,2,2,0,18,0.782142439581025,14.0431097108901
"Student",71,1,2,2,0,18,0.673159172290469,6.1915118278165
"Welch",71,1,2,2,0,18,0.260008715973959,2.31997257168279
"Student",72,1,2,2,0,18,0.141455277070904,5.93198868423446
"Welch",72,1,2,2,0,18,0.00279091678648061,2.42797407749036
"Student",73,1,2,2,0,18,0.600997971821244,5.61713873225901
"Welch",73,1,2,2,0,18,0.797448195327661,47.857700518457
"Student",74,1,2,2,0,18,0.961307680664919,4.45170921438485
"Welch",74,1,2,2,0,18,0.918696722636867,2.669337396373
"Student",75,1,2,2,0,18,0.633854015686232,5.55085659563938
"Welch",75,1,2,2,0,18,0.577204550851935,10.3127693612785
"Student",76,1,2,2,0,18,0.730514072266267,6.12043356390806
"Welch",76,1,2,2,0,18,0.7733843827272,23.2986671462802
"Student",77,1,2,2,0,18,0.423457505394377,5.95645491758696
"Welch",77,1,2,2,0,18,0.152504458188105,3.68965729246567
